chi2	0.1	0.05	0.025	0.01	0.001
1	2.706	3.841	5.024	6.635	10.828
2	4.605	5.991	7.378	9.210	13.816
3	6.251	7.815	9.348	11.345	16.266
4	7.779	9.488	11.143	13.277	18.467
5	9.236	11.070	12.833	15.086	20.515
6	10.645	12.592	14.449	16.812	22.458
7	12.017	14.067	16.013	18.475	24.322
8	13.362	15.507	17.535	20.090	26.124
9	14.684	16.919	19.023	21.666	27.877
10	15.987	18.307	20.483	23.209	29.588
11	17.275	19.675	21.920	24.725	31.264
12	18.549	21.026	23.337	26.217	32.909
13	19.812	22.362	24.736	27.688	34.528
14	21.064	23.685	26.119	29.141	36.123
15	22.307	24.996	27.488	30.578	37.697
16	23.542	26.296	28.845	32.000	39.252
17	24.769	27.587	30.191	33.409	40.790
18	25.989	28.869	31.526	34.805	42.312
19	27.204	30.144	32.852	36.191	43.820
20	28.412	31.410	34.170	37.566	45.315
21	29.615	32.671	35.479	38.932	46.797
22	30.813	33.924	36.781	40.289	48.268
23	32.007	35.172	38.076	41.638	49.728
24	33.196	36.415	39.364	42.980	51.179
25	34.382	37.652	40.646	44.314	52.620
26	35.563	38.885	41.923	45.642	54.052
27	36.741	40.113	43.195	46.963	55.476
28	37.916	41.337	44.461	48.278	56.892
29	39.087	42.557	45.722	49.588	58.301
30	40.256	43.773	46.979	50.892	59.703
31	41.422	44.985	48.232	52.191	61.098
32	42.585	46.194	49.480	53.486	62.487
33	43.745	47.400	50.725	54.776	63.870
34	44.903	48.602	51.966	56.061	65.247
35	46.059	49.802	53.203	57.342	66.619
36	47.212	50.998	54.437	58.619	67.985
37	48.363	52.192	55.668	59.893	69.346
38	49.513	53.384	56.896	61.162	70.703
39	50.660	54.572	58.120	62.428	72.055
40	51.805	55.758	59.342	63.691	73.402
41	52.949	56.942	60.561	64.950	74.745
42	54.090	58.124	61.777	66.206	76.084
43	55.230	59.304	62.990	67.459	77.419
44	56.369	60.481	64.201	68.710	78.750
45	57.505	61.656	65.410	69.957	80.077
46	58.641	62.830	66.617	71.201	81.400
47	59.774	64.001	67.821	72.443	82.720
48	60.907	65.171	69.023	73.683	84.037
49	62.038	66.339	70.222	74.919	85.351
50	63.167	67.505	71.420	76.154	86.661
51	64.295	68.669	72.616	77.386	87.968
52	65.422	69.832	73.810	78.616	89.272
53	66.548	70.993	75.002	79.843	90.573
54	67.673	72.153	76.192	81.069	91.872
55	68.796	73.311	77.380	82.292	93.168
56	69.919	74.468	78.567	83.513	94.461
57	71.040	75.624	79.752	84.733	95.751
58	72.160	76.778	80.936	85.950	97.039
59	73.279	77.931	82.117	87.166	98.324
60	74.397	79.082	83.298	88.379	99.607
61	75.514	80.232	84.476	89.591	100.888
62	76.630	81.381	85.654	90.802	102.166
63	77.745	82.529	86.830	92.010	103.442
64	78.860	83.675	88.004	93.217	104.716
65	79.973	84.821	89.177	94.422	105.988
66	81.085	85.965	90.349	95.626	107.258
67	82.197	87.108	91.519	96.828	108.526
68	83.308	88.250	92.689	98.028	109.791
69	84.418	89.391	93.856	99.228	111.055
70	85.527	90.531	95.023	100.425	112.317
71	86.635	91.670	96.189	101.621	113.577
72	87.743	92.808	97.353	102.816	114.835
73	88.850	93.945	98.516	104.010	116.092
74	89.956	95.081	99.678	105.202	117.346
75	91.061	96.217	100.839	106.393	118.599
76	92.166	97.351	101.999	107.583	119.850
77	93.270	98.484	103.158	108.771	121.100
78	94.374	99.617	104.316	109.958	122.348
79	95.476	100.749	105.473	111.144	123.594
80	96.578	101.879	106.629	112.329	124.839
81	97.680	103.010	107.783	113.512	126.083
82	98.780	104.139	108.937	114.695	127.324
83	99.880	105.267	110.090	115.876	128.565
84	100.980	106.395	111.242	117.057	129.804
85	102.079	107.522	112.393	118.236	131.041
86	103.177	108.648	113.544	119.414	132.277
87	104.275	109.773	114.693	120.591	133.512
88	105.372	110.898	115.841	121.767	134.745
89	106.469	112.022	116.989	122.942	135.978
90	107.565	113.145	118.136	124.116	137.208
91	108.661	114.268	119.282	125.289	138.438
92	109.756	115.390	120.427	126.462	139.666
93	110.850	116.511	121.571	127.633	140.893
94	111.944	117.632	122.715	128.803	142.119
95	113.038	118.752	123.858	129.973	143.344
96	114.131	119.871	125.000	131.141	144.567
97	115.223	120.990	126.141	132.309	145.789
98	116.315	122.108	127.282	133.476	147.010
99	117.407	123.225	128.422	134.642	148.230
100	118.498	124.342	129.561	135.807	149.449
101	119.589	125.458	130.700	136.971	150.667
102	120.679	126.574	131.838	138.134	151.884
103	121.769	127.689	132.975	139.297	153.099
104	122.858	128.804	134.111	140.459	154.314
105	123.947	129.918	135.247	141.620	155.528
106	125.035	131.031	136.382	142.780	156.740
107	126.123	132.144	137.517	143.940	157.952
108	127.211	133.257	138.651	145.099	159.162
109	128.298	134.369	139.784	146.257	160.372
110	129.385	135.480	140.917	147.414	161.581
111	130.472	136.591	142.049	148.571	162.788
112	131.558	137.701	143.180	149.727	163.995
113	132.643	138.811	144.311	150.882	165.201
114	133.729	139.921	145.441	152.037	166.406
115	134.813	141.030	146.571	153.191	167.610
116	135.898	142.138	147.700	154.344	168.813
117	136.982	143.246	148.829	155.496	170.016
118	138.066	144.354	149.957	156.648	171.217
119	139.149	145.461	151.084	157.800	172.418
120	140.233	146.567	152.211	158.950	173.617
121	141.315	147.674	153.338	160.100	174.816
122	142.398	148.779	154.464	161.250	176.014
123	143.480	149.885	155.589	162.398	177.212
124	144.562	150.989	156.714	163.546	178.408
125	145.643	152.094	157.839	164.694	179.604
126	146.724	153.198	158.962	165.841	180.799
127	147.805	154.302	160.086	166.987	181.993
128	148.885	155.405	161.209	168.133	183.186
129	149.965	156.508	162.331	169.278	184.379
130	151.045	157.610	163.453	170.423	185.571
131	152.125	158.712	164.575	171.567	186.762
132	153.204	159.814	165.696	172.711	187.953
133	154.283	160.915	166.816	173.854	189.142
134	155.361	162.016	167.936	174.996	190.331
135	156.440	163.116	169.056	176.138	191.520
136	157.518	164.216	170.175	177.280	192.707
137	158.595	165.316	171.294	178.421	193.894
138	159.673	166.415	172.412	179.561	195.080
139	160.750	167.514	173.530	180.701	196.266
140	161.827	168.613	174.648	181.840	197.451
141	162.904	169.711	175.765	182.979	198.635
142	163.980	170.809	176.882	184.118	199.819
143	165.056	171.907	177.998	185.256	201.002
144	166.132	173.004	179.114	186.393	202.184
145	167.207	174.101	180.229	187.530	203.366
146	168.283	175.198	181.344	188.666	204.547
147	169.358	176.294	182.459	189.802	205.727
148	170.432	177.390	183.573	190.938	206.907
149	171.507	178.485	184.687	192.073	208.086
150	172.581	179.581	185.800	193.208	209.265
151	173.655	180.676	186.914	194.342	210.443
152	174.729	181.770	188.026	195.476	211.620
153	175.803	182.865	189.139	196.609	212.797
154	176.876	183.959	190.251	197.742	213.973
155	177.949	185.052	191.362	198.874	215.149
156	179.022	186.146	192.474	200.006	216.324
157	180.094	187.239	193.584	201.138	217.499
158	181.167	188.332	194.695	202.269	218.673
159	182.239	189.424	195.805	203.400	219.846
160	183.311	190.516	196.915	204.530	221.019
161	184.382	191.608	198.025	205.660	222.191
162	185.454	192.700	199.134	206.790	223.363
163	186.525	193.791	200.243	207.919	224.535
164	187.596	194.883	201.351	209.047	225.705
165	188.667	195.973	202.459	210.176	226.876
166	189.737	197.064	203.567	211.304	228.045
167	190.808	198.154	204.675	212.431	229.215
168	191.878	199.244	205.782	213.558	230.383
169	192.948	200.334	206.889	214.685	231.552
170	194.017	201.423	207.995	215.812	232.719
171	195.087	202.513	209.102	216.938	233.887
172	196.156	203.602	210.208	218.063	235.053
173	197.225	204.690	211.313	219.189	236.220
174	198.294	205.779	212.419	220.314	237.385
175	199.363	206.867	213.524	221.438	238.551
176	200.432	207.955	214.628	222.563	239.716
177	201.500	209.042	215.733	223.687	240.880
178	202.568	210.130	216.837	224.810	242.044
179	203.636	211.217	217.941	225.933	243.207
180	204.704	212.304	219.044	227.056	244.370
181	205.771	213.391	220.148	228.179	245.533
182	206.839	214.477	221.251	229.301	246.695
183	207.906	215.563	222.353	230.423	247.857
184	208.973	216.649	223.456	231.544	249.018
185	210.040	217.735	224.558	232.665	250.179
